country,state,city,shape,duration_hours,duration_minutes,duration_seconds,comments,date_posted,latitude,longitude,date,time
au,New South Wales,sydney (nsw&#44 australia),formation,0.05,3.0,180.0,formation and impact,20/11/2001,-33.861481,151.205475,10/10/2001,4:33:00
au,South Australia,adelaide (pt. wakefield) (south australia),circle,0.166666667,10.0,600.0,one light became 3,28/10/2002,-34.928661,138.598633,10/10/2002,4:00:00
au,Tasmania,burnie (tasmania) (australia),cross,0.0,0.0,0.0,the craft was large and noisy,13/07/2005,-41.05584,145.903748,10/10/2002,22:00:00
au,South Australia,adelaide  (south australia),oval,0.083333333,5.0,300.0,Dancing &amp; Flashing UFO in Glenelg&#44 South Australia,8/10/2007,-34.928661,138.598633,1/10/2007,2:00:00
au,Western Australia,perth (w. of; southern cross) (western australia),fireball,0.25,15.0,900.0,fire ball and min min,18/06/2004,-31.95224,115.861397,12/10/1975,1:00:00
au,Victoria,melbourne (vic&#44 australia),cigar,0.25,15.0,900.0,Large cigar shaped craft&#44flying sideways&#44over bay&#44toward&#39s our car.,29/09/2004,-37.813938,144.963425,12/10/1988,16:30:00
au,Western Australia,leeman (australia),cone,0.0,0.0,0.0,Cone shaped&#44 with 4 huge lights and one at the point of the cone&#44 shot fire balls,23/12/2002,-29.949369,114.982101,12/10/2002,13:50:00
au,Queensland,brisbane (qld&#44 australia),oval,0.005555556,0.333333333,20.0,i just got back from work. i was taking a shower and i heard a loud bang&#33 noise outside the back yard. my dog was barking. i thought it,15/10/2002,-27.47101,153.024292,14/10/2002,12:25:00
au,Victoria,cheltenham (melbourne) (victoria) (australia),circle,0.166666667,10.0,600.0,Sighting of the Mother ship &quot;UFO&quot; Charman Rd Cheltenham Vic &#44 Australia 1987-1988,20/11/2013,-37.966667,145.066667,15/10/1987,21:00:00
au,Northern Territory,darwin (nt&#44 australia),chevron,0.016666667,1.0,60.0,two loud noises&#44 saw unusual lights in the sky not common for the area,15/10/2002,-12.45722,130.836639,15/10/2002,20:30:00
au,Queensland,gold coast (australia),egg,0.0125,0.75,45.0,Orb shaped UFO &#44 red and blue flare out,30/10/2012,-28.00029,153.430878,16/10/2012,19:11:00
au,Victoria,melbourne (vic&#44 australia),cylinder,0.416666667,25.0,1500.0,The Craft zipped passed&#44 zipped back&#44 stopped&#44and just stood there for about twenty mins. The wittnesses said they had an eerie feeling,15/04/2000,-37.813938,144.963425,17/10/1999,20:25:00
au,Victoria,baranduda (australia),sphere,0.033333333,2.0,120.0,UFO craft spotted in Southern Australia,2/12/2000,-36.2,146.966667,19/10/2000,21:30:00
au,New South Wales,sydney (nsw&#44 australia),unknown,0.083333333,5.0,300.0,Australian UFO sighting,31/10/2003,-33.861481,151.205475,20/10/2003,7:35:00
au,Queensland,ipswich (australia),sphere,0.005555556,0.333333333,20.0,Transparent sphere straight &amp; level flight into the distance during air force air display in Australia.,27/10/2004,-27.616667,152.766667,2/10/2004,10:30:00
au,Victoria,melbourne (australia),oval,0.001388889,0.083333333,5.0,Witnessed a blue glow followed by a streak of light in Melbourne Australia 10/02/2007,8/10/2007,-37.813938,144.963425,2/10/2007,21:48:00
au,Queensland,flinton (australia),fireball,0.0,0.0,0.0,Very bright  orange unidentified object in the sky&#44 Three sets of eyes seen with torch.,3/10/2013,-27.883333,149.566667,2/10/2013,21:00:00
au,Queensland,mitchell (australia),cylinder,0.002777778,0.166666667,10.0,Objects unexplained seen in the air over rural Queensland small country town of Mitchell,31/10/2008,-26.4849,147.974197,22/10/2002,14:00:00
au,Western Australia,perth (western australia),unknown,0.011111111,0.666666667,40.0,UFO sighting in Kwinana Perth WA,28/10/2002,-31.95224,115.861397,27/10/2002,23:25:00
au,New South Wales,west wyalong (australia),cigar,0.083333333,5.0,300.0,Chemtrail plane&#39s disguise ufo escort,30/10/2012,-33.933333,147.25,28/10/2012,14:00:00
au,Queensland,brisbane (qld&#44 australia),fireball,0.166666667,10.0,600.0,UFO sighting Springfield Queensland Australia.As I was having a breath of fresh evening air on the veranda I suddenly turned my hea,2/11/2004,-27.47101,153.024292,30/10/2004,20:00:00
au,New South Wales,dubbo (australia),light,0.0,0.0,0.0,On October 30th 2005 at about 9:30pm a green light was seen gliding across the sky in Dubbo.,3/11/2005,-32.24295,148.604843,30/10/2005,21:30:00
au,Queensland,boyne island (australia),disk,0.083333333,5.0,300.0,Ufo looked like a disk&#44 saucer shape and a greyish colour. the ufo seemed to just hover.,7/12/2006,-23.933333,151.35,30/10/2006,13:10:00
au,Queensland,tannum sands (australia),disk,0.066666667,4.0,240.0,the day was clear. the ufo looked like a disk or saucer shaped object. the ufo was a greyish colour from a distance. the ufo was hoveri,7/12/2006,-23.9475,151.374878,30/10/2006,13:15:00
au,New South Wales,sydney (australia),light,0.033333333,2.0,120.0,Hovering white light seen in Sydney&#44 Australia,12/12/2011,-33.861481,151.205475,30/10/2011,18:00:00
au,Queensland,biloela (australia),light,0.0,0.0,0.0,It was there about 9pm to 11pm hoving the woods abuot distance 2000metres and after 11pm it had disapear&#33&#33&#33&#33&#33&#33&#33&#33&#33,20/11/2001,-24.416667,150.5,31/10/2001,22:00:00
au,Western Australia,cue (western australia) (australia),light,0.008333333,0.5,30.0,Bright flashing moving light stops moving then loops.,14/10/2013,-27.42395,117.897392,3/10/2013,22:00:00
au,Queensland,ipswich (near) (australia),disk,0.005555556,0.333333333,20.0,((HOAX??))  saucer shape with three golwing domes.,30/10/2006,-27.616667,152.766667,5/10/2006,22:00:00
au,South Australia,nuriootpa (australia),fireball,0.0125,0.75,45.0,Fireball inclour size  approximately 500 yards across&#44 landed and vertically lifted out of sight,16/08/2002,-34.46825,138.997665,6/10/1978,21:45:00
au,Victoria,emerald (australia),light,0.25,15.0,900.0,12 to 14 orange lights travelling from west to south.,30/10/2012,-37.931671,145.440933,6/10/2012,10:45:00
au,Western Australia,perth (western australia),triangle,0.000277778,0.016666667,1.0,1 mile away on the other side of the Canning River at 1:30am,31/10/2003,-31.95224,115.861397,7/10/2003,1:30:00
au,Western Australia,perth (western australia),triangle,0.008333333,0.5,30.0,i saw three traingular ufos&#44 the one in the middle was bigger than the other ones. they didn&#39t stay for very long. me and me brother we,16/12/2005,-31.95224,115.861397,9/10/1992,12:00:00
au,South Australia,adelaide (south australia),disk,0.008333333,0.5,30.0,Several people  witnessed positive UFO on clear day.,7/10/2003,-34.928661,138.598633,10/01/1977,11:00:00
au,Western Australia,busselton (australia),light,0.083333333,5.0,300.0,3 light moviving erractically across the sky,21/03/2003,-33.652489,115.345497,10/01/2003,21:09:00
au,Victoria,bairnsdale (victoria&#44 australia),circle,0.05,3.0,180.0,East Gippsland &#44 Australia Sighting of a strong beam of light at ground level &#44 then assending into the sky .,14/02/2006,-37.822891,147.610413,10/01/2006,3:25:00
au,New South Wales,sydney (australia),circle,0.083333333,5.0,300.0,we saw an circular object flashing a light at us,30/10/2006,-33.861481,151.205475,10/01/2006,19:30:00
au,New South Wales,sydney (australia),light,0.066666667,4.0,240.0,Bright light moves North to South quickly in the sky over Sydney,1/02/2007,-33.861481,151.205475,10/01/2007,20:30:00
au,New South Wales,sydney (australia),light,0.002777778,0.166666667,10.0,white lights dipping&#44 diving over Sydney,31/01/2011,-33.861481,151.205475,10/01/2011,17:15:00
au,South Australia,belair  (south australia),disk,0.1,6.0,360.0,The disc was acompanyed by two other craft before it flew off at high speed and it was a reflective silver with lights around the rim,20/11/2001,-35.0,138.633333,10/11/1998,0:30:00
au,New South Wales,sydney (nsw&#44 australia),other,0.166666667,10.0,600.0,i was sitting down in a meadow&#44 when i looked up and saw the stars when suddenly one of the stars i was looking at changed&#44,28/04/2001,-33.861481,151.205475,11/11/2000,0:00:00
au,Queensland,brisbane (qld&#44 australia),circle,0.002777778,0.166666667,10.0,It was a huge black round thing and it was leaving a green trail of smoke behind it.  It made a buzzing sound.,3/12/2004,-27.47101,153.024292,11/11/2004,2:00:00
au,New South Wales,hillston (nsw)(australia),unknown,0.25,15.0,900.0,Bright star-like light.  ((NUFORC Note:  Possible sighting of Venus??  PD)),11/11/2013,-33.480942,145.534348,11/11/2013,22:30:00
au,Queensland,brisbane (qld&#44 australia),circle,1.0,60.0,3600.0,Strange lights over Brisbane,5/08/2001,-27.47101,153.024292,11/01/1997,23:30:00
au,Victoria,melbourne (vic&#44 australia),triangle,0.166666667,10.0,600.0,the triangle shot across the sky with a huge roaring sound,22/04/2003,-37.813938,144.963425,1/11/2002,3:34:00
