datetime,city,state,country,shape,duration_seconds,comments,date_posted,latitude,longitude,date,time,duration_minutes,duration_hours,state_new,new_state
10/10/2001 4:33,sydney (nsw&#44 australia),unknown,au,formation,180,formation and impact,20/11/2001,-33.861481,151.205475,10/10/2001,4:33:00,3,0.05,0,New South Wales
10/10/2002 4:00,adelaide (pt. wakefield) (south australia),unknown,au,circle,600,one light became 3,28/10/2002,-34.928661,138.598633,10/10/2002,4:00:00,10,0.166666667,1,South Australia
10/10/2002 22:00,burnie (tasmania) (australia),unknown,au,cross,0,the craft was large and noisy,13/07/2005,-41.05584,145.903748,10/10/2002,22:00:00,0,0,2,Tasmania
1/10/2007 2:00,adelaide  (south australia),unknown,au,oval,300,Dancing &amp; Flashing UFO in Glenelg&#44 South Australia,8/10/2007,-34.928661,138.598633,1/10/2007,2:00:00,5,0.083333333,3,South Australia
12/10/1975 1:00,perth (w. of; southern cross) (western australia),unknown,au,fireball,900,fire ball and min min,18/06/2004,-31.95224,115.861397,12/10/1975,1:00:00,15,0.25,4,Western Australia
12/10/1988 16:30,melbourne (vic&#44 australia),unknown,au,cigar,900,Large cigar shaped craft&#44flying sideways&#44over bay&#44toward&#39s our car.,29/09/2004,-37.813938,144.963425,12/10/1988,16:30:00,15,0.25,5,Victoria
12/10/2002 13:50,leeman (australia),unknown,au,cone,0,Cone shaped&#44 with 4 huge lights and one at the point of the cone&#44 shot fire balls,23/12/2002,-29.949369,114.982101,12/10/2002,13:50:00,0,0,6,Western Australia
14/10/2002 12:25,brisbane (qld&#44 australia),unknown,au,oval,20,i just got back from work. i was taking a shower and i heard a loud bang&#33 noise outside the back yard. my dog was barking. i thought it,15/10/2002,-27.47101,153.024292,14/10/2002,12:25:00,0.333333333,0.005555556,7,Queensland
15/10/1987 21:00,cheltenham (melbourne) (victoria) (australia),unknown,au,circle,600,Sighting of the Mother ship &quot;UFO&quot; Charman Rd Cheltenham Vic &#44 Australia 1987-1988,20/11/2013,-37.966667,145.066667,15/10/1987,21:00:00,10,0.166666667,8,Victoria
15/10/2002 20:30,darwin (nt&#44 australia),nt,au,chevron,60,two loud noises&#44 saw unusual lights in the sky not common for the area,15/10/2002,-12.45722,130.836639,15/10/2002,20:30:00,1,0.016666667,9,Northern Territory
16/10/2012 19:11,gold coast (australia),unknown,au,egg,45,Orb shaped UFO &#44 red and blue flare out,30/10/2012,-28.00029,153.430878,16/10/2012,19:11:00,0.75,0.0125,10,Queensland
17/10/1999 20:25,melbourne (vic&#44 australia),unknown,au,cylinder,1500,The Craft zipped passed&#44 zipped back&#44 stopped&#44and just stood there for about twenty mins. The wittnesses said they had an eerie feeling,15/04/2000,-37.813938,144.963425,17/10/1999,20:25:00,25,0.416666667,11,Victoria
19/10/2000 21:30,baranduda (australia),unknown,au,sphere,120,UFO craft spotted in Southern Australia,2/12/2000,-36.2,146.966667,19/10/2000,21:30:00,2,0.033333333,12,Victoria
20/10/2003 7:35,sydney (nsw&#44 australia),unknown,au,unknown,300,Australian UFO sighting,31/10/2003,-33.861481,151.205475,20/10/2003,7:35:00,5,0.083333333,13,New South Wales
2/10/2004 10:30,ipswich (australia),unknown,au,sphere,20,Transparent sphere straight &amp; level flight into the distance during air force air display in Australia.,27/10/2004,-27.616667,152.766667,2/10/2004,10:30:00,0.333333333,0.005555556,14,Queensland
2/10/2007 21:48,melbourne (australia),unknown,au,oval,5,Witnessed a blue glow followed by a streak of light in Melbourne Australia 10/02/2007,8/10/2007,-37.813938,144.963425,2/10/2007,21:48:00,0.083333333,0.001388889,15,Victoria
2/10/2013 21:00,flinton (australia),unknown,au,fireball,0,Very bright  orange unidentified object in the sky&#44 Three sets of eyes seen with torch.,3/10/2013,-27.883333,149.566667,2/10/2013,21:00:00,0,0,16,Queensland
22/10/2002 14:00,mitchell (australia),unknown,au,cylinder,10,Objects unexplained seen in the air over rural Queensland small country town of Mitchell,31/10/2008,-26.4849,147.974197,22/10/2002,14:00:00,0.166666667,0.002777778,17,Queensland
27/10/2002 23:25,perth (western australia),unknown,au,unknown,40,UFO sighting in Kwinana Perth WA,28/10/2002,-31.95224,115.861397,27/10/2002,23:25:00,0.666666667,0.011111111,18,Western Australia
28/10/2012 14:00,west wyalong (australia),unknown,au,cigar,300,Chemtrail plane&#39s disguise ufo escort,30/10/2012,-33.933333,147.25,28/10/2012,14:00:00,5,0.083333333,19,New South Wales
30/10/2004 20:00,brisbane (qld&#44 australia),unknown,au,fireball,600,UFO sighting Springfield Queensland Australia.As I was having a breath of fresh evening air on the veranda I suddenly turned my hea,2/11/2004,-27.47101,153.024292,30/10/2004,20:00:00,10,0.166666667,20,Queensland
30/10/2005 21:30,dubbo (australia),unknown,au,light,0,On October 30th 2005 at about 9:30pm a green light was seen gliding across the sky in Dubbo.,3/11/2005,-32.24295,148.604843,30/10/2005,21:30:00,0,0,21,New South Wales
30/10/2006 13:10,boyne island (australia),unknown,au,disk,300,Ufo looked like a disk&#44 saucer shape and a greyish colour. the ufo seemed to just hover.,7/12/2006,-23.933333,151.35,30/10/2006,13:10:00,5,0.083333333,22,Queensland
30/10/2006 13:15,tannum sands (australia),unknown,au,disk,240,the day was clear. the ufo looked like a disk or saucer shaped object. the ufo was a greyish colour from a distance. the ufo was hoveri,7/12/2006,-23.9475,151.374878,30/10/2006,13:15:00,4,0.066666667,23,Queensland
